season,date,competition,home_team,away_team,home_goals,away_goals,winner
2023/24,2023-08-13,Premier League,Chelsea FC,Liverpool FC,1,1,DRAW
2023/24,2023-08-19,Premier League,Liverpool FC,AFC Bournemouth,3,1,HOME_TEAM
2023/24,2023-08-27,Premier League,Newcastle United FC,Liverpool FC,1,2,AWAY_TEAM
2023/24,2023-09-03,Premier League,Liverpool FC,Aston Villa FC,3,0,HOME_TEAM
2023/24,2023-09-16,Premier League,Wolverhampton Wanderers FC,Liverpool FC,1,3,AWAY_TEAM
2023/24,2023-09-24,Premier League,Liverpool FC,West Ham United FC,3,1,HOME_TEAM
2023/24,2023-09-30,Premier League,Tottenham Hotspur FC,Liverpool FC,2,1,HOME_TEAM
2023/24,2023-10-08,Premier League,Brighton & Hove Albion FC,Liverpool FC,2,2,DRAW
2023/24,2023-10-21,Premier League,Liverpool FC,Everton FC,2,0,HOME_TEAM
2023/24,2023-10-29,Premier League,Liverpool FC,Nottingham Forest FC,3,0,HOME_TEAM
2023/24,2023-11-05,Premier League,Luton Town FC,Liverpool FC,1,1,DRAW
2023/24,2023-11-12,Premier League,Liverpool FC,Brentford FC,3,0,HOME_TEAM
2023/24,2023-11-25,Premier League,Manchester City FC,Liverpool FC,1,1,DRAW
2023/24,2023-12-03,Premier League,Liverpool FC,Fulham FC,4,3,HOME_TEAM
2023/24,2023-12-06,Premier League,Sheffield United FC,Liverpool FC,0,2,AWAY_TEAM
2023/24,2023-12-09,Premier League,Crystal Palace FC,Liverpool FC,1,2,AWAY_TEAM
2023/24,2023-12-17,Premier League,Liverpool FC,Manchester United FC,0,0,DRAW
2023/24,2023-12-23,Premier League,Liverpool FC,Arsenal FC,1,1,DRAW
2023/24,2023-12-26,Premier League,Burnley FC,Liverpool FC,0,2,AWAY_TEAM
2023/24,2024-01-01,Premier League,Liverpool FC,Newcastle United FC,4,2,HOME_TEAM
2023/24,2024-01-21,Premier League,AFC Bournemouth,Liverpool FC,0,4,AWAY_TEAM
2023/24,2024-01-31,Premier League,Liverpool FC,Chelsea FC,4,1,HOME_TEAM
2023/24,2024-02-04,Premier League,Arsenal FC,Liverpool FC,3,1,HOME_TEAM
2023/24,2024-02-10,Premier League,Liverpool FC,Burnley FC,3,1,HOME_TEAM
2023/24,2024-02-17,Premier League,Brentford FC,Liverpool FC,1,4,AWAY_TEAM
2023/24,2024-02-21,Premier League,Liverpool FC,Luton Town FC,4,1,HOME_TEAM
2023/24,2024-03-02,Premier League,Nottingham Forest FC,Liverpool FC,0,1,AWAY_TEAM
2023/24,2024-03-10,Premier League,Liverpool FC,Manchester City FC,1,1,DRAW
2023/24,2024-03-31,Premier League,Liverpool FC,Brighton & Hove Albion FC,2,1,HOME_TEAM
2023/24,2024-04-04,Premier League,Liverpool FC,Sheffield United FC,3,1,HOME_TEAM
2023/24,2024-04-07,Premier League,Manchester United FC,Liverpool FC,2,2,DRAW
2023/24,2024-04-14,Premier League,Liverpool FC,Crystal Palace FC,0,1,AWAY_TEAM
2023/24,2024-04-21,Premier League,Fulham FC,Liverpool FC,1,3,AWAY_TEAM
